,Vmag,Plx,e_Plx,B-V,SpType
0,9.1,3.54,1.39,0.482,366
1,9.27,21.9,3.1,0.999,727
2,6.61,2.81,0.63,-0.019,253
3,8.06,7.75,0.97,0.37,310
4,8.55,2.87,1.11,0.902,575
5,12.31,18.8,4.99,1.336,778
6,9.64,17.74,1.3,0.74,445
7,9.05,5.17,1.95,1.102,834
8,8.59,4.81,0.99,1.067,507
9,8.59,10.76,1.1,0.489,398
10,7.34,4.29,0.84,0.081,39
11,8.43,4.06,1.16,1.484,735
12,8.8,3.49,1.48,1.128,633
13,7.25,5.11,0.99,1.2,609
14,8.6,2.45,1.16,1.166,685
15,8.15,6.15,1.0,0.425,354
16,11.03,19.93,2.36,1.567,738
17,6.53,4.12,0.64,0.955,507
18,8.51,10.76,1.06,0.516,445
19,7.55,5.84,0.95,1.438,685
20,8.69,4.47,1.15,0.962,563
21,7.57,12.21,0.95,0.456,333
22,9.05,9.73,1.21,0.528,455
23,6.28,13.74,0.98,0.763,498
24,9.13,9.19,1.34,0.535,416
25,9.32,9.66,1.38,0.671,530
26,8.83,5.64,1.05,0.468,344
27,9.14,2.85,1.4,1.041,575
28,8.26,3.79,0.88,0.142,2
29,7.63,1.84,1.05,1.453,685
30,9.09,3.1,1.29,0.04,238
31,8.1,8.94,1.09,0.466,317
32,6.43,12.71,0.74,0.514,403
33,9.07,5.96,1.45,0.916,563
34,7.68,6.3,0.96,1.15,609
35,10.44,3.74,2.72,0.391,310
36,8.65,23.84,0.78,0.778,556
37,7.46,10.98,1.18,0.475,354
38,8.7,3.42,1.04,0.026,2
39,10.61,-3.4,4.25,0.57,146
40,8.2,6.38,0.91,0.387,317
41,6.18,7.63,0.6,1.032,597
42,7.91,2.41,1.01,1.104,685
43,8.57,1.19,1.2,1.035,668
44,10.78,24.45,1.97,1.15,727
45,7.31,1.86,0.87,1.164,614
46,9.53,1.59,1.28,0.45,366
47,6.49,16.89,0.8,0.616,462
48,8.94,0.41,1.3,0.906,609
49,8.56,3.95,0.77,0.196,75
50,10.57,20.97,1.71,1.03,840
51,7.4,14.66,0.98,0.551,477
52,8.12,3.47,1.27,1.329,609
53,8.27,33.89,0.79,0.863,709
54,7.05,26.06,0.67,0.52,445
55,9.09,-0.06,1.38,0.091,209
56,8.34,6.18,0.83,0.386,330
57,8.86,5.6,1.11,1.081,738
58,8.27,5.28,1.15,0.994,575
59,6.36,4.81,0.71,-0.047,276
60,8.08,3.45,0.94,1.156,698
61,8.55,8.18,0.88,0.401,333
62,7.83,7.48,0.93,0.495,366
63,8.79,31.8,1.17,0.94,609
64,8.33,6.35,1.12,0.135,2
65,8.26,9.13,1.84,0.846,507
66,8.97,10.63,1.25,0.671,492
67,6.9,3.97,0.69,1.446,685
68,9.93,24.22,1.36,1.068,738
69,7.42,1.6,0.79,1.524,735
70,9.03,2.29,1.19,1.67,771
71,8.41,3.53,1.12,0.022,15
72,8.06,1.17,0.96,1.203,609
73,8.69,4.57,0.99,0.529,366
74,8.4,15.59,1.43,0.566,479
75,8.57,23.43,1.28,0.642,507
76,9.5,1.82,1.37,1.107,507
77,8.85,2.28,1.3,1.726,771
78,9.61,18.9,1.33,0.852,609
79,10.62,3.9,2.06,0.359,39
80,8.05,3.47,0.78,0.018,253
81,7.8,4.52,1.08,0.43,366
82,5.71,5.97,0.7,0.911,575
83,7.87,2.6,0.96,1.566,685
84,7.64,9.35,0.92,0.5,378
85,7.66,4.21,1.23,1.3,609
86,8.68,4.77,1.44,0.944,575
87,8.12,16.74,1.28,0.619,431
88,10.1,10.48,1.48,0.644,468
