,Vmag,Plx,e_Plx,B-V,SpType,TargetClass
0,9.1,3.54,1.39,0.482,366,0
1,9.27,21.9,3.1,0.999,727,0
2,6.61,2.81,0.63,-0.019,253,1
3,8.06,7.75,0.97,0.37,310,1
4,8.55,2.87,1.11,0.902,575,0
5,12.31,18.8,4.99,1.336,778,0
6,9.64,17.73,1.3,0.74,445,1
7,9.05,5.17,1.95,1.102,834,0
8,8.59,4.81,0.99,1.067,507,0
9,8.59,10.76,1.1,0.489,398,1
10,7.34,4.29,0.84,0.081,39,1
11,8.43,4.06,1.16,1.484,735,0
12,8.8,3.49,1.48,1.128,633,0
13,7.25,5.11,0.99,1.2,609,0
14,8.6,2.45,1.16,1.166,685,0
15,8.15,6.15,1.0,0.425,354,1
16,11.03,19.94,2.36,1.567,738,0
17,6.53,4.12,0.64,0.955,507,0
18,8.51,10.76,1.06,0.516,445,1
19,7.55,5.84,0.95,1.438,685,0
20,8.69,4.47,1.15,0.962,563,0
21,7.57,12.21,0.95,0.456,333,1
22,9.05,9.73,1.21,0.528,455,0
23,6.28,13.74,0.98,0.763,498,0
24,9.13,9.19,1.34,0.535,416,0
25,9.32,9.66,1.38,0.671,530,1
26,8.83,5.64,1.05,0.468,344,1
27,9.14,2.85,1.4,1.041,575,0
28,8.26,3.79,0.88,0.142,2,0
29,7.63,1.84,1.05,1.453,685,0
30,9.09,3.1,1.29,0.04,238,1
31,8.1,8.94,1.09,0.466,317,1
32,6.43,12.71,0.74,0.514,403,1
33,9.07,5.96,1.45,0.916,563,0
34,7.68,6.3,0.96,1.15,609,0
35,10.44,3.74,2.72,0.391,310,1
36,8.65,23.84,0.78,0.778,556,0
37,7.46,10.98,1.18,0.475,354,1
38,8.7,3.42,1.04,0.026,2,0
39,10.61,-3.4,4.25,0.57,146,0
40,8.2,6.38,0.91,0.387,317,1
41,6.18,7.63,0.6,1.032,597,0
42,7.91,2.41,1.01,1.104,685,0
43,8.57,1.19,1.2,1.035,668,0
44,10.78,24.45,1.97,1.15,727,0
45,7.31,1.86,0.87,1.164,614,0
46,9.53,1.59,1.28,0.45,366,0
47,6.49,16.89,0.8,0.616,462,0
48,8.94,0.41,1.3,0.906,609,0
49,8.56,3.95,0.77,0.196,75,1
50,10.57,20.97,1.71,1.03,840,0
51,7.4,14.66,0.98,0.551,477,1
52,8.12,3.47,1.27,1.329,609,0
53,8.27,33.88,0.79,0.863,709,0
54,7.05,26.06,0.67,0.52,445,1
55,9.09,-0.06,1.38,0.091,209,1
